Initial_SOH,App_Profile,Avg_Temp_C,SOH_Loss_Rate_Hr,Est_Life_Hours
1.0,idle,25.510569698060976,0.0006532224425346289,306.1744162125868
1.0,video_streaming,28.40014760472718,0.000655411462395894,305.1518190861182
1.0,navigation_3g,31.441412324416206,0.000657741626863384,304.07076552802846
1.0,gaming_heavy,34.12507302277942,0.0006597864583490765,303.1283795979108
0.95,idle,25.510696717980238,3.2586705756010304e-07,613747.217952867
0.95,video_streaming,28.40678448794756,3.5169580414606827e-07,568673.2615011093
0.95,navigation_3g,31.46913672853708,3.7911762862385956e-07,527540.7548996605
0.95,gaming_heavy,34.18868974892041,4.0305445669908124e-07,496210.8635094914
0.9,idle,25.510857596509197,1.5426575650234753e-07,1296464.0016979822
0.9,video_streaming,28.415097284133026,1.6590105211822248e-07,1205537.8639641076
0.9,navigation_3g,31.50301584370112,1.7814642783164913e-07,1122671.9639251078
0.9,gaming_heavy,34.26440309680197,1.8874794316392496e-07,1059614.1957759126
0.85,idle,25.511036058031266,9.706875647719215e-08,2060395.2008697381
0.85,video_streaming,28.424026672766388,1.0400705563462509e-07,1922946.4653109342
0.85,navigation_3g,31.53866596251794,1.1124215748559152e-07,1797879.5496294175
0.85,gaming_heavy,34.34406034417026,1.1742180894280807e-07,1703261.1045654458
0.8,idle,25.51121013094837,6.847437372670129e-08,2920800.718795196
0.8,video_streaming,28.43278333736015,7.308303662245663e-08,2736613.162821766
0.8,navigation_3g,31.574369612867542,7.78115136768065e-08,2570313.7048677485
0.8,gaming_heavy,34.42533743527059,8.175426291501253e-08,2446355.6133814035
